Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Text Classification Modeling Approach on Imbalanced-Unstructured Traffic Accident Descriptions Data","The BERT-based model effectively extracts meaningful information from traffic crash descriptions, aiding in understanding unique crash characteristics and developing countermeasures to prevent future crashes.","Y. Seo, Ji-hyeok Park, Gyungtaek Oh, Hyungjoo Kim, Jia Hu, J. So",2023,6,"The unstructured-textual crash descriptions recorded by police officers is rarely utilized, despite containing detailed information on traffic situations. This lack of utilization is mainly due to the difficulty in analyzing text data, as there is currently no innovative methodology for extracting meaningful information from it. Given limitations and challenges in analyzing traffic crash descriptions, this study developed a methodology to classify significant words in unstructured data that describe traffic crash scenarios into standardized data. Ultimately, a natural language processing technique, specifically a bidirectional encoder representation from transformer (BERT), was used to extract meaningful information from crash descriptions. This BERT-based model effectively extracts information on the exact collision point and the pre-crash vehicle maneuver from crash descriptions. Its practical approach allows for the interpretation of traffic crash descriptions and outperforms other natural language processing models. Importantly, this method of extracting crash scene information from traffic crash descriptions can aid in better comprehending the unique characteristics of traffic crashes. This comprehension can ultimately aid in the development of appropriate countermeasures, leading to the prevention of future traffic crashes.","","IEEE Open Journal of Intelligent Transportation Systems","1","10.1109/ojits.2023.3335817","https://consensus.app/papers/text-classification-modeling-approach-on-seo-park/08db4b6100f75ecdafd7ba3dca3ec18a/"
"Road Safety in Low-Income Countries: State of Knowledge and Future Directions","Improving data systems, understanding non-fatal injuries, and capacity development are crucial for improving road safety in low-income countries.","S. Heydari, A. Hickford, Rich C. McIlroy, J. Turner, A. Bachani",2019,141,"Road safety in low-income countries (LICs) remains a major concern. Given the expected increase in traffic exposure due to the relatively rapid motorisation of transport in LICs, it is imperative to better understand the underlying mechanisms of road safety. This in turn will allow for planning cost-effective road safety improvement programs in a timely manner. With the general aim of improving road safety in LICs, this paper discusses the state of knowledge and proposes a number of future research directions developed from literature reviews and expert elicitation. Our study takes a holistic approach based on the Safe Systems framework and the framework for the UN Decade of Action for Road Safety. We focused mostly on examining the problem from traffic engineering and safety policy standpoints, but also touched upon other sectors, including public health and social sciences. We identified ten focus areas relating to (i) under-reporting; (ii) global best practices; (iii) vulnerable groups; (iv) disabilities; (v) road crash costing; (vi) vehicle safety; (vii) proactive approaches; (viii) data challenges; (ix) social/behavioural aspects; and (x) capacity building. Based on our findings, future research ought to focus on improvement of data systems, understanding the impact of and addressing non-fatal injuries, improving estimates on the economic burden, implementation research to scale up programs and transfer learnings, as well as capacity development. Our recommendations, which relate to both empirical and methodological frontiers, would lead to noteworthy improvements in the way road safety data collection and research is conducted in the context of LICs.","literature review","Sustainability","1","10.3390/su11226249","https://consensus.app/papers/road-safety-in-lowincome-countries-state-of-knowledge-and-heydari-hickford/bef254ba6aef5f46aa406ed316f58564/"
"Road Traffic Injury Prevention Initiatives: A Systematic Review and Metasummary of Effectiveness in Low and Middle Income Countries","Legislation combined with strong enforcement initiatives is the most effective road traffic injury prevention strategy in low and middle-income countries.","C. Staton, J. Vissoci, Enying Gong, Nicole Toomey, Rebecca B Wafula, Jihad Abdelgadir, Yi Zhou, Chen Liu, Fengdi Pei, Brittany Zick, Camille D. Ratliff, Claire Rotich, Nicole Jadue, Luciano de Andrade, Megan von Isenburg, M. Hocker",2016,229,"Road traffic injuries (RTIs) are a growing but neglected global health crisis, requiring effective prevention to promote sustainable safety. Low- and middle-income countries (LMICs) share a disproportionately high burden with 90% of the world's road traffic deaths, and where RTIs are escalating due to rapid urbanization and motorization. Although several studies have assessed the effectiveness of a specific intervention, no systematic reviews have been conducted summarizing the effectiveness of RTI prevention initiatives specifically performed in LMIC settings; this study will help fill this gap. In accordance with PRISMA guidelines we searched the electronic databases MEDLINE, EMBASE, Scopus, Web of Science, TRID, Lilacs, Scielo and Global Health. Articles were eligible if they considered RTI prevention in LMICs by evaluating a prevention-related intervention with outcome measures of crash, RTI, or death. In addition, a reference and citation analysis was conducted as well as a data quality assessment. A qualitative metasummary approach was used for data analysis and effect sizes were calculated to quantify the magnitude of emerging themes. Of the 8560 articles from the literature search, 18 articles from 11 LMICs fit the eligibility and inclusion criteria. Of these studies, four were from Sub-Saharan Africa, ten from Latin America and the Caribbean, one from the Middle East, and three from Asia. Half of the studies focused specifically on legislation, while the others focused on speed control measures, educational interventions, enforcement, road improvement, community programs, or a multifaceted intervention. Legislation was the most common intervention evaluated with the best outcomes when combined with strong enforcement initiatives or as part of a multifaceted approach. Because speed control is crucial to crash and injury prevention, road improvement interventions in LMIC settings should carefully consider how the impact of improvements will affect speed and traffic flow. Further road traffic injury prevention interventions should be performed in LMICs with patient-centered outcomes in order to guide injury prevention in these complex settings.","systematic review","PLoS ONE","1","10.1371/journal.pone.0144971","https://consensus.app/papers/road-traffic-injury-prevention-initiatives-a-systematic-staton-vissoci/d6d9007de1895529ab8eef22df0784e4/"
"Red light camera interventions for reducing traffic violations and traffic crashes: A systematic review","Red light cameras may effectively reduce red light violations and some traffic crashes, but may also increase rear end crashes.","E. Cohn, S. Kakar, C. Perkins, Rebecca Steinbach, Phil Edwards",2020,30,"Road traffic crashes are a major and increasing cause of injury and death around the world. In 2015, there were almost 6.3 million motor vehicle traffic crashes in the United States. Of these, approximately 1.7 million (27%) involved some form of injury and 32,166 (0.5%) resulted in one or more fatalities (National Highway Traffic Safety Administration, 2016, Traffic Safety Facts 2013: A Compilation of Motor Vehicle Crash Data from the Fatality Analysis Reporting System and the General Estimates System). The most common cause of urban crashes appears to be drivers running red lights or ignoring other traffic controls and injuries occur in 39% of all of these types of crashes (Insurance Institute for Highway Safety, IIHS, 2018, Red light running). While many drivers obey traffic signals, the possibility for violations exists due to issues such as driver distraction, aggressive driving behaviors, or a deliberate decision to ignore the traffic signal. One researcher suggests that eliminating traffic violations could reduce road injury crashes by up to 40% (Zaal, 1994,). Red light cameras (RLCs) are an enforcement mechanism that permit police to remotely enforce traffic signals; they may serve as a deterrent to drivers who intentionally engage in red light running (RLR). The one previous systematic review of RLCs found that they were effective in reducing total casualty crashes but also found that evidence on the effectiveness of cameras on red light violations, total crashes, or specific types of casualty crashes was inconclusive. However, this review searched only a small number of electronic databases and was limited to a handful of studies published in 2002 or earlier. This report updates and expands upon the previous Cochrane systematic review of RLCs. The aim of this review is to systematically review and synthesize the available evidence on the effectiveness of RLCs on the incidence of red light violations and the incidence and severity of various types of traffic crashes. This study uses a four-part search strategy that involves: (a) searching 27 online electronic bibliographic databases for published and unpublished evaluations of RLCs; (b) searching the websites of 46 international institutes and research agencies focusing on transportation issues for reports and other gray literature; (c) searching the reference lists of published studies to identify additional published and unpublished works; and (d) conducting a keyword search using Google and Google Scholar to search for additional gray literature. The criteria for inclusion were determined before the search process began. To be eligible, studies must have assessed the impact of RLCs on red light violations and/or traffic crashes. Studies must have employed a quantitative research design that involved randomized controlled trials, quasi-random controlled trials, a controlled before-after design, or a controlled interrupted time series. Research that incorporated additional interventions, such as speed cameras or enhanced police enforcement, were excluded, although normal routine traffic enforcement in the nonintervention control condition was not excluded. Both published and unpublished reports were included. Studies were eligible regardless of the country in which they were conducted or the date of publication. Qualitative, observational, or descriptive studies that did not include formal comparisons of treatment and control groups were excluded from this research. Initial searches produced a total of 5,708 references after duplicates were removed. After title and abstract screening, a total of 121 references remained. Full-text review of these works identified 28 primary studies meeting the inclusion criteria, in addition to the 10 studies identified in the prior Cochrane review. Because several of the primary studies reported on multiple independent study areas, this report evaluates 41 separate analyses. At least two review authors independently assessed all records for eligibility, assessed methodological risk of bias, and extracted data from the full-text reports; disagreements were resolved by discussion with a third review author. To facilitate comparisons between studies, a standardized summary measure based on relative effects, rather than differences in effects, was defined for each outcome. Summary measures were calculated for all studies when possible. When at least three studies reported the same outcome, the results were pooled in a meta-analysis. Pooled meta-analyses were carried out when at least three studies reported the same outcome; otherwise, the results of individual studies were described in a narrative. Heterogeneity among effect estimates was assessed usingtests at a 5% level of significance and quantified using thestatistic. EMMIE framework data were coded using the EPPIE Reviewer database. The results of this systematic review suggest that RLCs are associated with a statistically significant reduction in crash outcomes, although this varies by type of crash, and suggest a reduction in red light violations. RLCs are associated with a a 20% decrease in total injury crashes, a 24% decrease in right angle crashes and a 29% decrease in right angle injury crashes. Conversely, however, RLCs are also associated with a statistically significant increase in rear end crashes of 19%. There was also some evidence that RLCs were associated with a large reduction in crashes due to red light violations. There is no evidence to suggest that study heterogeneity is consistently explained by either country or risk of bias, nor did the presence or absence of warning signs appear to impact the effectiveness of RLCs. Studies accounting for regression to the mean tend to report more moderate decreases for right angle crashes resulting in injury than studies not accounting for regression to the mean. Studies with better control for confounders reported a nonsignificant decrease in right angle crashes, compared with a significant decrease for all studies. The evidence suggests that RLCs may be effective in reducing red light violations and are likely to be effective in reducing some types of traffic crashes, although they also appear linked to an increase in rear end crashes. Several implications for policymakers and practitioners have emerged from this research. The costs and benefits of RLCs must be considered when implementing RLC programs. The potential benefits of a reduction in traffic violations and in some types of injury crashes must be weighed against the increased risk of other crash types. The economic implications of operating an RLC program also must be considered, including the costs of installation and operation as well as the economic impact of RLC effects.","systematic review","Campbell Systematic Reviews","1","10.1002/cl2.1091","https://consensus.app/papers/red-light-camera-interventions-for-reducing-traffic-cohn-kakar/9cbf95b929675d19975807a2e857b978/"
"Identifying the causes of road traffic collisions: Using police officers' expertise to improve the reporting of contributory factors data.","Police officers' expertise can improve the reporting of contributory factors in road traffic collision reports by identifying an optimal category structure based on their perceptions.","Jonathan J. Rolison",2019,28,"","non-rct observational study","Accident; analysis and prevention","1","10.1016/j.aap.2019.105390","https://consensus.app/papers/identifying-the-causes-of-road-traffic-collisions-using-rolison/971c60dee0315978ba0fe72de36d52f6/"
"ChatGPT Is on the Horizon: Could a Large Language Model Be All We Need for Intelligent Transportation?","ChatGPT, a large language model, has the potential to revolutionize intelligent transportation systems by combining NLP and cross-modal processing, resulting in more efficient, intelligent, and sustainable solutions.","Ou Zheng, M. Abdel-Aty, Dongdong Wang, Zijin Wang, Shengxuan Ding",2023,53,"ChatGPT, developed by OpenAI, is one of the largest Large Language Models (LLM) with over 175 billion parameters. ChatGPT has demonstrated the impressive capabilities of LLM, particularly in the field of natural language processing (NLP). With the emergence of the discussion and application of LLM in various research or engineering domains, it is time to envision how LLM may revolutionize the way we approach intelligent transportation systems. This paper explores the future applications of LLM in addressing key transportation problems. By leveraging LLM and a cross-modal encoder, an intelligent system can handle traffic data from various modalities and execute transportation operations through a single LLM. NLP, combined with cross-modal processing, is investigated with its potential applications in transportation. To demonstrate this potential, a smartphone-based crash report auto-generation and analysis framework is presented as a use case. Despite the potential benefits, challenges related to data privacy, data quality, and model bias must be considered. Overall, the use of LLM in intelligent transport systems holds promise for more efficient, intelligent, and sustainable transportation systems that improve the lives of people around the world.","","ArXiv","","10.48550/arxiv.2303.05382","https://consensus.app/papers/chatgpt-is-on-the-horizon-could-a-large-language-model-be-all-zheng-abdel-aty/80ec4f1e68955e2c8985bec42119090f/"
"Predicting the Type of Road Traffic Accident for Test Scenario Generation","The CatBoost model can predict common road traffic accident types, but not rare ones like left-turns with oncoming traffic.","Maximilian Bäumler, Günther Prokop",2024,6,"Automated driving systems should be able to avoid road traffic accidents and drive more safely than human drivers do. Test scenarios derived from real-world data such as police accident data can help assess the safety performance of automated driving systems. In many countries, the police collect data and information about nearly every accident, resulting in a representative sample. However, the collected accident data often do not contain the exact conflicts that cause an accident. Therefore, we estimated the globally known three-digit accident type for German police accident data, describing accident-causing conflicts. The data supplemented by the estimated three-digit accident type can then be used in subsequent test scenario generation. Accordingly, this study presents the first classification model for predicting 30 types of turning accidents. We tested a CatBoost model and a large-language model called BERT, using different feature sets and model designs. Overall, the CatBoost model performed best when using accident descriptions and non-text features such as collision type. Anomaly detection performed before model training revealed additional knowledge-driven miscoding in the police data collection. In conclusion, the model can predict common accident types, such as left-turns with an oncoming straight-ahead driver. In contrast, the model fails to predict rare accident types, such as left-turns (with a lit arrow sign) with oncoming traffic. Future studies should focus on optimizing the developed model, handling data imbalances, and building models using police accident data from other countries.","","IEEE Access","1","10.1109/access.2024.3367744","https://consensus.app/papers/predicting-the-type-of-road-traffic-accident-for-test-b%C3%A4umler-prokop/2fdc8e3daa575b49b4d3290782c1ba9a/"
"Qualitative methods of road traffic crash research in low- and middle-income countries: a review","Qualitative methods can enhance road traffic crash research in low- and middle-income countries by examining contexts and social processes, enhancing crash prevention interventions and involving affected community members.","Benjamin D. Holmes, Kristin Haglund, Kristin M M Beyer, L. Cassidy",2018,11,"Road traffic crashes are rapidly becoming one of the leading causes of injury and death globally. It is predicted that by 2030 crashes will become the fourth leading cause of disability-adjusted life years (DALYs) (Mathers & Loncar, 2006) and the seventh leading global cause of death (World Health Organization [WHO], 2016). The global death toll due to crashes has already escalated by 46% over the past two decades (The World Bank, 2014). Lowand middle-income countries (LMICs) are acutely affected by this ‘hidden epidemic’ (Balch, 2013). Ninety per cent of the world’s crash-related deaths occur in LMICs where only 54% of its motor vehicles are registered (WHO, 2015). Furthermore, the economic toll of crashes in LMICs is concerning because nearly one half of all health care expenditures in LMICs is used to treat injuries related to motor vehicle crashes (Zakeri & Nosratnejad, 2017). This epidemic deserves urgent attention (Lin, 2016). Research on the epidemiology of crash problems in LMICs is increasing but these research efforts predominantly report statistics. There is a paucity of qualitative research that could help to explain the statistics. Qualitative exploration has the potential to enhance crash research by describing and explicating the contexts and social processes surrounding crashes, such as the antecedents, the environments in which crashes occur and injuries are produced, and the behaviours of people which make crashes more likely (Roberts, 1997; Rothe, 2000). Qualitative research methods can spark and mobilize the ideas and efforts of affected community members, thereby optimizing crash prevention interventions. Additionally, incorporating local citizens’ perspectives on the nature, causes and potential solutions of traffic problems in their locale increases the likelihood that proposed solutions will be effective, wanted and beneficial (Roberts, Smith, & Bryce, 1995). This article will review the literature to assess the extent to which qualitative methods have been implemented to research road traffic crashes in LMICs and to inform future methodological decision-making. Materials and methods","literature review","International Journal of Injury Control and Safety Promotion","2","10.1080/17457300.2018.1535512","https://consensus.app/papers/qualitative-methods-of-road-traffic-crash-research-in-low-holmes-haglund/7650fd4226dc5ea8b065bc6cb43ee01b/"
"Investigating Injury Outcomes of Horse-and-Buggy Crashes in Rural Michigan by Mining Crash Reports Using NLP and CNN Algorithms","Horse-and-buggy crashes in rural Michigan are exacerbated by factors such as distracted motorists, nighttime visibility issues, and failure to yield, highlighting the need for comprehensive safety measures.","Baraah Qawasmeh, Jun-Seok Oh, Valerian Kwigizile",2024,2,"Horse-and-buggy transportation, vital for many rural communities and the Amish population, has been largely overlooked in safety research. This study examines the characteristics and injury severity of horse-and-buggy roadway crashes in Michigan’s rural areas. Detailed crash data are essential for safety studies, as crash scene descriptions are mainly found in narratives and diagrams. However, extracting and utilizing this information from traffic reports is challenging. This research tackles these challenges using image-processing and text-mining techniques to analyze crash diagrams and narratives. The study employs the AlexNet convolutional neural network (CNN) to identify and extract horse-and-buggy crashes, analyzing (2020–2023) Michigan UD-10 rural crash reports. Natural Language Processing (NLP) techniques also identified primary risk factors from crash narratives, analyzing single-word patterns (“unigrams”) and sequences of three consecutive words (“trigrams”). The findings emphasize the risks involved in horse-and-buggy interactions on rural roadways and highlight various contributing factors to the severity of these crashes, including distracted or careless actions by motorists, nighttime visibility issues, and failure to yield, especially by elderly drivers. This study suggests prioritizing horse-and-buggy riders in road safety and public health programs and recommends comprehensive measures that could significantly reduce crash incidence and severity, improving overall safety in Michigan’s rural areas, including better signage, driver education, and community outreach. Also, the study highlights the potential of advanced image-processing techniques in traffic safety research that could lead to more precise and actionable findings, enhancing road safety for all users.","","Safety","2","10.3390/safety11010001","https://consensus.app/papers/investigating-injury-outcomes-of-horseandbuggy-crashes-qawasmeh-oh/1faa203846f9589896e84b03d26190df/"
"Exploring Traffic Crash Narratives in Jordan Using Text Mining Analytics","Text mining analytics effectively explores traffic crash narratives in Jordan, highlighting the need for a balanced approach to road safety, emphasizing driver education and awareness of animal-related incidents.","Shadi Jaradat, Taqwa I. Alhadidi, Huthaifa I. Ashqar, Ahmed Hossain, Mohammed Elhenawy",2024,16,"This study explores traffic crash narratives in an attempt to inform and enhance effective traffic safety policies using text-mining analytics. Text mining techniques are employed to unravel key themes and trends within the narratives, aiming to provide a deeper understanding of the factors contributing to traffic crashes. This study collected crash data from five major freeways in Jordan that cover narratives of 7,587 records from 2018-2022. An unsupervised learning method was adopted to learn the pattern from crash data. Various text mining techniques, such as topic modeling, keyword extraction, and Word Co-Occurrence Network, were also used to reveal the co-occurrence of crash patterns. Results show that text mining analytics is a promising method and underscore the multifactorial nature of traffic crashes, including intertwining human decisions and vehicular conditions. The recurrent themes across all analyses highlight the need for a balanced approach to road safety, merging both proactive and reactive measures. Emphasis on driver education and awareness around animal-related incidents is paramount.","","2024 IEEE 3rd International Conference on Computing and Machine Intelligence (ICMI)","","10.1109/icmi60790.2024.10586010","https://consensus.app/papers/exploring-traffic-crash-narratives-in-jordan-using-text-jaradat-alhadidi/678c156f6b6f515ea8f01794f8d039f4/"
